,Date,1,2,3,4,5,6,7,8,9,10
0,2024.03.23,LG,SSG,NC,KIA,삼성,KT,두산,롯데,한화,키움
1,2024.03.24,SSG,KIA,삼성,LG,NC,두산,한화,KT,롯데,키움
2,2024.03.26,KIA,LG,SSG,NC,두산,삼성,한화,KT,롯데,키움
3,2024.03.27,KIA,NC,두산,한화,LG,삼성,SSG,KT,롯데,키움
4,2024.03.28,KIA,한화,LG,NC,두산,삼성,SSG,KT,롯데,키움
5,2024.03.29,KIA,한화,LG,NC,SSG,두산,삼성,롯데,KT,키움
6,2024.03.30,한화,KIA,LG,NC,SSG,두산,삼성,키움,롯데,KT
7,2024.03.31,한화,KIA,NC,SSG,LG,두산,키움,삼성,롯데,KT
8,2024.04.02,한화,NC,KIA,SSG,LG,두산,키움,롯데,삼성,KT
9,2024.04.03,한화,KIA,SSG,NC,LG,키움,두산,롯데,삼성,KT
10,2024.04.04,한화,KIA,SSG,LG,NC,키움,두산,롯데,삼성,KT
11,2024.04.05,KIA,한화,SSG,NC,키움,LG,두산,KT,롯데,삼성
12,2024.04.06,KIA,NC,한화,SSG,키움,LG,두산,롯데,삼성,KT
13,2024.04.07,NC,KIA,키움,LG,한화,SSG,두산,롯데,삼성,KT
14,2024.04.09,KIA,NC,SSG,키움,LG,한화,두산,삼성,롯데,KT
15,2024.04.10,KIA,NC,SSG,키움,LG,한화,두산,삼성,롯데,KT
16,2024.04.11,KIA,NC,SSG,키움,한화,LG,삼성,두산,롯데,KT
17,2024.04.12,KIA,NC,키움,SSG,LG,한화,삼성,두산,KT,롯데
18,2024.04.13,KIA,NC,키움,SSG,LG,한화,두산,삼성,KT,롯데
19,2024.04.14,KIA,NC,키움,SSG,LG,한화,두산,삼성,KT,롯데
20,2024.04.16,KIA,키움,NC,SSG,LG,한화,삼성,두산,KT,롯데
21,2024.04.17,KIA,NC,키움,SSG,LG,삼성,한화,두산,KT,롯데
22,2024.04.18,KIA,NC,SSG,키움,삼성,LG,한화,두산,KT,롯데
23,2024.04.19,KIA,NC,SSG,키움,LG,삼성,한화,두산,KT,롯데
24,2024.04.20,KIA,NC,SSG,키움,LG,삼성,한화,두산,KT,롯데
25,2024.04.21,KIA,NC,키움,SSG,LG,삼성,한화,두산,롯데,KT
26,2024.04.23,KIA,NC,SSG,삼성,키움,LG,두산,한화,KT,롯데
27,2024.04.24,KIA,NC,SSG,삼성,키움,LG,두산,한화,KT,롯데
28,2024.04.25,KIA,NC,SSG,삼성,LG,키움,두산,한화,KT,롯데
29,2024.04.26,KIA,NC,SSG,삼성,LG,키움,두산,한화,KT,롯데
30,2024.04.27,KIA,NC,삼성,LG,SSG,키움,두산,한화,KT,롯데
31,2024.04.28,KIA,NC,삼성,SSG,LG,두산,키움,한화,KT,롯데
32,2024.04.30,KIA,NC,삼성,SSG,LG,두산,키움,한화,KT,롯데
33,2024.05.01,KIA,NC,삼성,SSG,LG,키움,두산,한화,KT,롯데
34,2024.05.02,KIA,NC,삼성,SSG,LG,키움,두산,한화,KT,롯데
35,2024.05.03,KIA,NC,삼성,SSG,LG,두산,키움,한화,KT,롯데
36,2024.05.04,KIA,NC,삼성,SSG,LG,두산,키움,KT,한화,롯데
37,2024.05.07,KIA,NC,삼성,SSG,LG,두산,키움,KT,한화,롯데
38,2024.05.08,KIA,NC,삼성,SSG,LG,두산,KT,키움,한화,롯데
39,2024.05.09,KIA,NC,삼성,LG,SSG,두산,KT,키움,한화,롯데
40,2024.05.10,KIA,NC,삼성,LG,SSG,두산,KT,한화,키움,롯데
41,2024.05.11,KIA,NC,삼성,LG,SSG,두산,KT,키움,한화,롯데
42,2024.05.12,KIA,NC,삼성,LG,두산,SSG,KT,한화,키움,롯데
43,2024.05.14,KIA,NC,두산,삼성,LG,SSG,KT,키움,한화,롯데
44,2024.05.15,KIA,NC,삼성,두산,LG,SSG,KT,키움,한화,롯데
45,2024.05.16,KIA,NC,삼성,두산,LG,SSG,키움,KT,한화,롯데
46,2024.05.17,KIA,NC,삼성,LG,SSG,두산,키움,KT,한화,롯데
47,2024.05.18,KIA,삼성,NC,LG,SSG,두산,키움,KT,한화,롯데
48,2024.05.19,KIA,삼성,NC,두산,LG,SSG,키움,KT,한화,롯데
49,2024.05.21,KIA,NC,삼성,두산,LG,SSG,KT,키움,한화,롯데
50,2024.05.22,KIA,NC,삼성,두산,LG,SSG,KT,한화,키움,롯데
51,2024.05.23,KIA,두산,NC,삼성,LG,SSG,KT,키움,롯데,한화
52,2024.05.24,KIA,두산,삼성,NC,LG,SSG,KT,한화,키움,롯데
53,2024.05.25,KIA,두산,삼성,LG,NC,SSG,KT,한화,롯데,키움
54,2024.05.26,KIA,두산,LG,삼성,NC,SSG,KT,한화,롯데,키움
55,2024.05.28,KIA,LG,두산,삼성,NC,SSG,KT,한화,키움,롯데
56,2024.05.29,KIA,LG,두산,삼성,NC,SSG,KT,한화,키움,롯데
57,2024.05.30,KIA,두산,LG,삼성,NC,SSG,한화,KT,키움,롯데
58,2024.05.31,KIA,LG,두산,삼성,SSG,NC,KT,한화,키움,롯데
59,2024.06.01,KIA,LG,삼성,두산,SSG,NC,KT,한화,키움,롯데
60,2024.06.02,KIA,LG,삼성,두산,SSG,NC,KT,한화,롯데,키움
61,2024.06.04,KIA,LG,삼성,두산,SSG,NC,KT,한화,롯데,키움
62,2024.06.05,KIA,LG,삼성,두산,SSG,NC,한화,KT,롯데,키움
63,2024.06.06,KIA,LG,두산,삼성,SSG,NC,한화,KT,롯데,키움
64,2024.06.07,LG,KIA,두산,삼성,SSG,NC,한화,롯데,KT,키움
65,2024.06.08,LG,KIA,두산,삼성,SSG,NC,한화,롯데,KT,키움
66,2024.06.09,LG,KIA,두산,삼성,SSG,NC,한화,롯데,KT,키움
67,2024.06.11,LG,KIA,두산,삼성,SSG,NC,한화,롯데,KT,키움
68,2024.06.12,KIA,LG,삼성,두산,SSG,NC,한화,롯데,KT,키움
69,2024.06.13,KIA,LG,삼성,두산,SSG,NC,한화,롯데,KT,키움
70,2024.06.14,KIA,LG,삼성,두산,SSG,NC,한화,롯데,KT,키움
71,2024.06.15,KIA,두산,LG,삼성,SSG,NC,롯데,한화,KT,키움
72,2024.06.16,KIA,LG,두산,삼성,SSG,NC,한화,롯데,KT,키움
73,2024.06.18,KIA,두산,LG,삼성,SSG,NC,한화,롯데,KT,키움
74,2024.06.19,KIA,LG,두산,삼성,SSG,NC,한화,롯데,KT,키움
75,2024.06.20,KIA,두산,LG,삼성,SSG,NC,한화,롯데,KT,키움
76,2024.06.21,KIA,삼성,두산,LG,SSG,NC,한화,롯데,KT,키움
77,2024.06.22,KIA,삼성,두산,LG,SSG,NC,한화,롯데,KT,키움
78,2024.06.23,KIA,삼성,LG,두산,SSG,NC,한화,롯데,KT,키움
79,2024.06.25,KIA,삼성,LG,두산,SSG,NC,한화,롯데,KT,키움
80,2024.06.26,KIA,LG,삼성,두산,SSG,NC,한화,롯데,KT,키움
81,2024.06.27,KIA,삼성,LG,두산,SSG,NC,한화,롯데,KT,키움
82,2024.06.28,KIA,삼성,LG,두산,SSG,NC,롯데,한화,KT,키움
83,2024.06.29,KIA,삼성,LG,두산,SSG,NC,롯데,한화,KT,키움
84,2024.06.30,KIA,LG,삼성,두산,SSG,NC,롯데,한화,KT,키움
