,LG
0,1
1,4
2,2
3,5
4,3
5,3
6,3
7,5
8,5
9,5
10,4
11,6
12,6
13,4
14,5
15,5
16,6
17,5
18,5
19,5
20,5
21,5
22,6
23,5
24,5
25,5
26,6
27,6
28,5
29,5
30,4
31,5
32,5
33,5
34,5
35,5
36,5
37,5
38,5
39,4
40,4
41,4
42,4
43,5
44,5
45,5
46,4
47,4
48,5
49,5
50,5
51,5
52,5
53,4
54,3
55,2
56,2
57,3
58,2
59,2
60,2
61,2
62,2
63,2
64,1
65,1
66,1
67,1
68,2
69,2
70,2
71,3
72,2
73,3
74,2
75,3
76,4
77,4
78,3
79,3
80,2
81,3
82,3
83,3
84,2
85,2
86,2
87,2
88,2
89,3
90,4
91,4
92,4
93,3
94,3
95,3
96,2
97,2
98,2
99,2
100,2
101,2
102,2
103,2
104,2
105,2
106,2
107,2
108,2
109,2
110,2
111,2
112,2
113,3
114,2
115,2
116,2
117,2
118,2
119,2
120,2
121,2
122,3
123,3
124,3
