,두산
0,6
1,4
2,2
3,2
4,5
5,5
6,5
7,6
8,6
9,7
10,7
11,7
12,7
13,7
14,7
15,7
16,8
17,8
18,7
19,7
20,8
21,8
22,8
23,8
24,8
25,8
26,7
27,7
28,7
29,7
30,7
31,6
32,6
33,7
34,7
35,6
36,6
37,5
38,6
39,6
40,6
41,6
42,5
43,3
44,4
45,4
46,6
47,6
48,4
49,4
50,4
51,2
52,2
53,2
54,2
55,3
56,3
57,2
58,3
59,4
60,4
61,4
62,4
63,3
64,3
65,3
66,3
67,3
68,4
69,4
70,4
71,2
72,3
73,2
74,3
75,2
76,3
77,3
78,4
79,4
80,4
81,4
82,4
83,4
84,4
85,4
86,4
87,3
88,2
89,3
90,3
91,3
92,3
93,3
94,4
95,4
96,4
97,4
98,4
99,4
100,4
101,4
102,4
103,4
104,4
105,6
106,5
107,5
108,4
109,4
110,4
111,4
112,4
113,4
114,4
115,4
116,4
117,4
118,4
119,4
120,4
121,4
122,4
123,4
124,4
