,롯데
0,6
1,8
2,8
3,8
4,9
5,8
6,9
7,9
8,8
9,8
10,8
11,9
12,8
13,8
14,9
15,9
16,9
17,10
18,10
19,10
20,10
21,10
22,10
23,10
24,10
25,9
26,10
27,10
28,10
29,10
30,10
31,10
32,10
33,10
34,10
35,10
36,10
37,10
38,10
39,10
40,10
41,10
42,10
43,10
44,10
45,10
46,10
47,10
48,10
49,10
50,10
51,9
52,10
53,9
54,9
55,10
56,10
57,10
58,10
59,10
60,9
61,9
62,9
63,9
64,8
65,8
66,8
67,8
68,8
69,8
70,8
71,7
72,8
73,8
74,8
75,8
76,8
77,8
78,8
79,8
80,8
81,8
82,7
83,7
84,7
85,7
86,8
87,8
88,8
89,8
90,8
91,9
92,9
93,9
94,8
95,8
96,8
97,8
98,8
99,8
100,8
101,8
102,8
103,9
104,8
105,8
106,9
107,9
108,9
109,9
110,9
111,9
112,9
113,9
114,9
115,9
116,9
117,8
118,8
119,7
120,7
121,7
122,8
123,8
124,8
