,삼성
0,1
1,1
2,2
3,5
4,6
5,7
6,7
7,8
8,8
9,8
10,8
11,9
12,8
13,8
14,8
15,8
16,7
17,7
18,8
19,8
20,7
21,6
22,5
23,6
24,5
25,5
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,2
35,3
36,3
37,3
38,3
39,3
40,3
41,3
42,2
43,4
44,3
45,3
46,2
47,2
48,2
49,2
50,2
51,3
52,3
53,3
54,4
55,4
56,4
57,4
58,4
59,3
60,3
61,3
62,3
63,4
64,4
65,4
66,4
67,4
68,3
69,3
70,3
71,4
72,4
73,4
74,4
75,4
76,2
77,2
78,2
79,2
80,3
81,2
82,2
83,2
84,3
85,3
86,3
87,4
88,4
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,3
97,3
98,3
99,3
100,3
101,3
102,3
103,3
104,3
105,3
106,3
107,3
108,3
109,3
110,3
111,3
112,3
113,2
114,3
115,3
116,3
117,3
118,3
119,3
120,3
121,3
122,2
123,2
124,2
